0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,1,5,9,7,7,9,17,12,15,29,24,15,15,24,44,22,26,18,27,28,65,155,241,365,473,604,939,1225,1210,1426,1153,854,788,833,350,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,35,175,549,956,1503,1894,2035,1920,2856,2833,3167,3452,4453,3796,4223,5888,5995,5366,5352,5644,5886,5101,5993,5108,4247,5625,11757,26903,35578,54655,59930,79110,102811,122008,112717,104236,75589,44795,31451,23816,8821,692,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,5,9,12,9,10,21,20,16,23,15,24,24,30,41,42,58,86,129,147,134,253,501,504,498,644,868,833,981,852,656,684,1011,802,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,216,712,1109,1619,2280,3966,3923,3912,4125,4800,5275,5433,6362,7216,7435,9298,8028,8032,9567,10853,12748,17063,25496,25111,30027,45330,83479,74907,72662,80397,89542,84094,73185,55391,38001,28811,30960,16960,1653,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,2,5,3,10,8,8,11,26,58,88,94,169,226,237,266,293,344,485,377,354,298,239,149,128,66,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,157,757,1320,1918,2361,2354,2037,2409,2833,3123,4530,6825,11258,19322,28191,34608,52646,65052,70178,71751,79077,86312,119541,94761,76949,57441,45136,28269,15267,7766,1665,184,13,1,2,1,2,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,5,39,9,22,53,50,29,25,37,35,31,27,30,27,33,31,45,34,36,46,48,44,61,76,100,123,117,146,216,340,344,400,392,419,199,103,32,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,4952,12172,7085,15035,32047,34342,26099,23752,24195,24033,23001,21333,23630,16377,15341,14746,16745,17065,16384,18479,16662,14869,17000,19938,22933,25105,28943,35929,49224,61788,67175,72292,62942,63147,30449,13770,5220,1731,123,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,12,6,9,22,64,65,60,45,31,34,32,28,34,51,40,28,66,42,33,40,35,47,62,88,132,174,129,161,204,298,333,359,169,50,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1380,3482,4297,9131,21782,36557,45296,43057,31779,22951,22047,30798,24504,22185,23369,23383,20140,21642,20174,18160,16264,15682,15427,19121,26575,38403,42936,37402,35105,47177,63386,73497,76451,29066,10730,2764,739,120,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
141716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,1,4,3,7,6,10,10,14,36,34,20,53,97,148,234,363,235,147,58,51,40,52,89,73,126,230,317,739,743,604,453,398,321,133,5,0,0,0,0,203,0,0,0,0,2284,0,0,0,0,0,0,0,0,0,0,3,35,120,228,434,640,951,1448,2045,1785,2349,2451,2567,2763,3689,4634,5695,8481,11438,11296,14802,25052,43044,65789,90494,71297,40641,22026,14440,11577,12396,19337,16982,21832,31128,45471,66059,62369,44309,30553,18142,9245,3911,342,205,215,383,337,4445,61,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,23,35,28,32,32,17,32,23,27,27,35,21,21,15,27,18,30,63,70,120,118,125,198,281,377,318,342,407,559,739,754,304,120,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1436,3745,6439,9185,11173,12605,15192,12011,11318,10905,10758,10920,11664,12128,9924,8984,9462,10402,9933,13324,19328,26293,32962,32624,36591,50496,62136,81768,62345,62515,65098,75300,82403,66006,26701,8377,2018,77,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,305,794,66,101,87,44,61,32,55,57,48,36,42,44,25,33,43,42,39,41,19,20,21,19,27,28,23,26,26,23,94,112,86,159,229,371,421,561,806,812,899,549,202,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2069,80451,130390,25350,30446,30149,25400,25469,22424,21659,24284,17965,16948,15773,15505,15228,14698,14416,13642,12016,11225,9117,7411,6980,6641,6466,6398,7166,7494,7655,9291,19440,17572,17491,23637,30045,34924,39239,38491,42419,35941,29449,17568,5258,814,3,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,86,213,13,34,48,21,18,18,16,33,24,29,19,19,17,15,19,18,31,16,23,28,41,36,121,333,337,413,300,251,243,128,174,172,110,126,97,165,230,172,202,266,581,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,756,25047,37614,6115,12301,20954,15896,14175,11664,12241,16185,12143,11148,10176,10321,10083,9076,8591,10338,10382,9114,8915,11427,13344,17112,40788,80865,88746,90570,73485,52009,46857,27834,26222,24051,18117,15209,12835,13893,14356,9418,7655,9083,11365,5784,60,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,116,9,72,59,62,23,23,13,29,21,23,9,14,15,39,27,25,47,63,55,118,114,124,142,194,242,303,203,119,93,59,91,96,92,124,123,123,166,81,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,7931,40279,20114,29074,36500,28817,19090,15070,13421,14022,13846,15753,10774,10401,10516,13259,12923,13140,18314,23009,23697,36546,42263,39489,42296,56758,73923,73535,54853,36528,23048,17184,17977,13421,14827,17725,14748,12809,12231,6045,454,3,1,0,0,0,0,0,0,0,0,0,0,0
